,symbol,name,abbreviation,ts_code,area,industry,list_date
3914,600822,上海物贸,shwm,600822.SH,上海,商贸代理,19940204
3915,603200,上海洗霸,shxb,603200.SH,上海,环境保护,20170601
3916,603026,胜华新材,shxc,603026.SH,山东,化工原料,20150529
3917,300236,上海新阳,shxy,300236.SZ,上海,半导体,20110629
3918,000531,穗恒运A,shya,000531.SZ,广东,火力发电,19940106
3919,600871,石化油服,shyf,600871.SH,北京,石油开采,19950411
3920,300452,山河药辅,shyf,300452.SZ,安徽,化学制药,20150515
3921,601229,上海银行,shyh,601229.SH,上海,银行,20161116
3922,603159,上海亚虹,shyh,603159.SH,上海,专用机械,20160812
3923,600836,上海易连,shyl,600836.SH,上海,广告包装,19940224
3924,605128,上海沿浦,shyp,605128.SH,上海,汽车配件,20200915
3925,603329,上海雅仕,shys,603329.SH,上海,仓储物流,20171229
3926,601607,上海医药,shyy,601607.SH,上海,医药商业,19940324
3927,688091,上海谊众,shyz,688091.SH,上海,化学制药,20210909
3928,002050,三花智控,shzk,002050.SZ,浙江,家用电器,20050607
3929,BK0643,上海自贸,shzm,,,,
3930,002097,山河智能,shzn,002097.SZ,湖南,工程机械,20061222
3931,600392,盛和资源,shzy,600392.SH,四川,小金属,20030529
3932,BK1047,数据安全,sjaq,,,,
3933,BK1105,世界杯,sjb,,,,
3934,300050,世纪鼎利,sjdl,300050.SZ,广东,通信设备,20100120
3935,300444,双杰电气,sjdq,300444.SZ,北京,电气设备,20150423
3936,600779,水井坊,sjf,600779.SH,四川,白酒,19961206
3937,300775,三角防务,sjfw,300775.SZ,陕西,航空,20190521
3938,603881,数据港,sjg,603881.SH,上海,电信运营,20170208
3939,002273,水晶光电,sjgd,002273.SZ,浙江,元器件,20080919
3940,688157,松井股份,sjgf,688157.SH,湖南,染料涂料,20200609
3941,002381,双箭股份,sjgf,002381.SZ,浙江,橡胶,20100402
3942,002361,神剑股份,sjgf,002361.SZ,安徽,化工原料,20100303
3943,601116,三江购物,sjgw,601116.SH,浙江,超市连锁,20110302
3944,688313,仕佳光子,sjgz,688313.SH,河南,通信设备,20200812
